320,"{0: 1, 1: 2, 2: 3, 3: 3, 4: 3, 5: 4, 6: 3, 7: 4, 8: 3, 9: 2, 10: 3, 11: 2, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
321,"{0: 1, 1: 2, 2: 4, 3: 3, 4: 4, 5: 4, 6: 4, 7: 4, 8: 3, 9: 2, 10: 2, 11: 2, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
322,"{0: 1, 1: 1, 2: 2, 3: 4, 4: 3, 5: 3, 6: 3, 7: 2, 8: 2, 9: 3, 10: 3, 11: 3, 12: 1, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
323,"{0: 1, 1: 2, 2: 3, 3: 3, 4: 4, 5: 6, 6: 7, 7: 8, 8: 9, 9: 9, 10: 10, 11: 9, 12: 8, 13: 4, 14: 4, 15: 2, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
324,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
325,"{0: 1, 1: 2, 2: 2, 3: 2, 4: 3, 5: 4, 6: 6, 7: 7, 8: 6, 9: 7, 10: 7, 11: 3, 12: 1, 13: 2, 14: 1, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
326,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 4, 6: 3, 7: 4, 8: 5, 9: 4, 10: 5, 11: 4, 12: 3, 13: 1, 14: 1, 15: 1, 16: 2, 17: 2, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
327,"{0: 1, 1: 2, 2: 4, 3: 5, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 7, 11: 4, 12: 4, 13: 3, 14: 3, 15: 4, 16: 4, 17: 3, 18: 3, 19: 3, 20: 1, 21: 1, 22: 1, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
328,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 2, 5: 3, 6: 3, 7: 5, 8: 8, 9: 9, 10: 11, 11: 16, 12: 15, 13: 14, 14: 14, 15: 11, 16: 8, 17: 2, 18: 2, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
329,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 4, 5: 4, 6: 4, 7: 5, 8: 5, 9: 6, 10: 5, 11: 6, 12: 4, 13: 4, 14: 4, 15: 5, 16: 6, 17: 7, 18: 6, 19: 4, 20: 3, 21: 2, 22: 1, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
330,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2, 8: 4, 9: 2, 10: 3, 11: 2, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
331,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 3, 5: 3, 6: 2, 7: 3, 8: 3, 9: 2, 10: 3, 11: 2, 12: 1, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
332,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 7, 6: 10, 7: 11, 8: 12, 9: 15, 10: 14, 11: 14, 12: 10, 13: 8, 14: 5, 15: 2, 16: 1, 17: 1, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
333,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 3, 5: 4, 6: 4, 7: 3, 8: 3, 9: 3, 10: 3, 11: 4, 12: 3, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
334,"{0: 1, 1: 2, 2: 2, 3: 3, 4: 2, 5: 3, 6: 4, 7: 3, 8: 3, 9: 2, 10: 3, 11: 4, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
335,"{0: 1, 1: 2, 2: 3, 3: 5, 4: 8, 5: 13, 6: 16, 7: 19, 8: 19, 9: 16, 10: 15, 11: 14, 12: 10, 13: 11, 14: 7, 15: 6, 16: 3, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
336,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 2, 5: 3, 6: 3, 7: 3, 8: 4, 9: 3, 10: 3, 11: 2, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
337,"{0: 1, 1: 2, 2: 4, 3: 5, 4: 6, 5: 10, 6: 15, 7: 15, 8: 18, 9: 17, 10: 16, 11: 15, 12: 18, 13: 13, 14: 11, 15: 8, 16: 4, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
338,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 2, 6: 3, 7: 2, 8: 2, 9: 3, 10: 4, 11: 3, 12: 2, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
339,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 2, 5: 3, 6: 5, 7: 7, 8: 8, 9: 11, 10: 13, 11: 11, 12: 9, 13: 9, 14: 9, 15: 9, 16: 7, 17: 2, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
340,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 2, 5: 4, 6: 3, 7: 4, 8: 3, 9: 4, 10: 3, 11: 4, 12: 3, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
341,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
342,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2, 8: 4, 9: 2, 10: 3, 11: 2, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
343,"{0: 1, 1: 2, 2: 2, 3: 3, 4: 5, 5: 5, 6: 6, 7: 8, 8: 10, 9: 11, 10: 9, 11: 7, 12: 8, 13: 9, 14: 5, 15: 3, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
344,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 3, 6: 4, 7: 4, 8: 4, 9: 5, 10: 6, 11: 6, 12: 6, 13: 6, 14: 6, 15: 5, 16: 3, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
345,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 3, 5: 4, 6: 4, 7: 3, 8: 3, 9: 3, 10: 3, 11: 4, 12: 3, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
346,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 3, 5: 3, 6: 2, 7: 2, 8: 2, 9: 2, 10: 2, 11: 2, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
347,"{0: 1, 1: 2, 2: 4, 3: 5, 4: 6, 5: 7, 6: 12, 7: 11, 8: 12, 9: 10, 10: 11, 11: 9, 12: 9, 13: 9, 14: 7, 15: 3, 16: 1, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
348,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 3, 5: 2, 6: 3, 7: 3, 8: 2, 9: 4, 10: 3, 11: 4, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
349,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 3, 5: 2, 6: 3, 7: 4, 8: 2, 9: 3, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
350,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 6, 5: 9, 6: 11, 7: 11, 8: 13, 9: 14, 10: 13, 11: 8, 12: 6, 13: 5, 14: 4, 15: 2, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
351,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 3, 5: 3, 6: 3, 7: 3, 8: 4, 9: 3, 10: 3, 11: 3, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
352,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 3, 5: 4, 6: 4, 7: 3, 8: 3, 9: 3, 10: 3, 11: 4, 12: 3, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
353,"{0: 1, 1: 2, 2: 3, 3: 3, 4: 4, 5: 3, 6: 4, 7: 4, 8: 5, 9: 4, 10: 5, 11: 5, 12: 4, 13: 4, 14: 3, 15: 4, 16: 6, 17: 7, 18: 6, 19: 6, 20: 6, 21: 3, 22: 1, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
354,"{0: 1, 1: 2, 2: 3, 3: 3, 4: 5, 5: 3, 6: 3, 7: 3, 8: 3, 9: 4, 10: 3, 11: 3, 12: 3, 13: 3, 14: 4, 15: 5, 16: 4, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
355,"{0: 1, 1: 2, 2: 2, 3: 3, 4: 5, 5: 6, 6: 9, 7: 13, 8: 16, 9: 16, 10: 15, 11: 16, 12: 15, 13: 12, 14: 12, 15: 9, 16: 8, 17: 6, 18: 2, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
356,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
357,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2, 8: 4, 9: 4, 10: 5, 11: 5, 12: 6, 13: 6, 14: 6, 15: 6, 16: 8, 17: 8, 18: 8, 19: 8, 20: 7, 21: 5, 22: 4, 23: 2, 24: 0, 25: 0, 26: 0, 27: 0}"
358,"{0: 1, 1: 2, 2: 2, 3: 3, 4: 2, 5: 4, 6: 3, 7: 2, 8: 2, 9: 2, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
359,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 3, 5: 4, 6: 4, 7: 2, 8: 3, 9: 2, 10: 4, 11: 3, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
360,"{0: 1, 1: 1, 2: 2, 3: 2, 4: 4, 5: 4, 6: 3, 7: 4, 8: 2, 9: 3, 10: 3, 11: 2, 12: 2, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
361,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 3, 6: 2, 7: 3, 8: 2, 9: 3, 10: 3, 11: 2, 12: 3, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
362,"{0: 1, 1: 1, 2: 2, 3: 2, 4: 4, 5: 5, 6: 7, 7: 10, 8: 16, 9: 18, 10: 18, 11: 16, 12: 19, 13: 13, 14: 10, 15: 8, 16: 5, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
363,"{0: 1, 1: 1, 2: 2, 3: 4, 4: 3, 5: 3, 6: 3, 7: 2, 8: 2, 9: 3, 10: 3, 11: 3, 12: 1, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
364,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 2, 5: 3, 6: 3, 7: 2, 8: 3, 9: 4, 10: 2, 11: 3, 12: 3, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
365,"{0: 1, 1: 2, 2: 3, 3: 3, 4: 4, 5: 6, 6: 6, 7: 7, 8: 6, 9: 5, 10: 4, 11: 5, 12: 4, 13: 3, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
366,"{0: 1, 1: 2, 2: 3, 3: 5, 4: 7, 5: 11, 6: 14, 7: 15, 8: 17, 9: 17, 10: 16, 11: 17, 12: 13, 13: 12, 14: 6, 15: 5, 16: 5, 17: 3, 18: 1, 19: 1, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
367,"{0: 1, 1: 2, 2: 4, 3: 5, 4: 7, 5: 11, 6: 15, 7: 14, 8: 18, 9: 16, 10: 18, 11: 16, 12: 19, 13: 15, 14: 11, 15: 7, 16: 4, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
368,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 2, 6: 3, 7: 2, 8: 3, 9: 3, 10: 3, 11: 3, 12: 2, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
369,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2, 8: 4, 9: 2, 10: 3, 11: 2, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
370,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 3, 5: 3, 6: 4, 7: 3, 8: 2, 9: 3, 10: 3, 11: 4, 12: 3, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
371,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 3, 7: 3, 8: 2, 9: 2, 10: 2, 11: 1, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
372,"{0: 1, 1: 2, 2: 2, 3: 3, 4: 5, 5: 7, 6: 12, 7: 17, 8: 18, 9: 16, 10: 16, 11: 17, 12: 16, 13: 14, 14: 12, 15: 11, 16: 9, 17: 7, 18: 4, 19: 2, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
373,"{0: 1, 1: 2, 2: 4, 3: 4, 4: 3, 5: 4, 6: 4, 7: 3, 8: 3, 9: 2, 10: 3, 11: 3, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
374,"{0: 1, 1: 2, 2: 4, 3: 5, 4: 9, 5: 14, 6: 16, 7: 20, 8: 19, 9: 20, 10: 17, 11: 18, 12: 18, 13: 13, 14: 11, 15: 7, 16: 6, 17: 2, 18: 1, 19: 1, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
375,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 5, 5: 6, 6: 5, 7: 4, 8: 3, 9: 3, 10: 3, 11: 4, 12: 3, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
376,"{0: 1, 1: 2, 2: 3, 3: 5, 4: 7, 5: 9, 6: 11, 7: 12, 8: 13, 9: 10, 10: 8, 11: 9, 12: 9, 13: 7, 14: 6, 15: 3, 16: 1, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
377,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 6, 5: 7, 6: 9, 7: 11, 8: 9, 9: 7, 10: 9, 11: 8, 12: 9, 13: 8, 14: 7, 15: 5, 16: 3, 17: 2, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
378,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 3, 7: 3, 8: 2, 9: 3, 10: 2, 11: 2, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
379,"{0: 1, 1: 2, 2: 4, 3: 4, 4: 3, 5: 4, 6: 3, 7: 4, 8: 4, 9: 3, 10: 3, 11: 3, 12: 1, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
380,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 8, 6: 9, 7: 7, 8: 9, 9: 9, 10: 7, 11: 7, 12: 6, 13: 5, 14: 3, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
381,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 3, 7: 3, 8: 3, 9: 2, 10: 3, 11: 3, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
382,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 2, 7: 3, 8: 4, 9: 3, 10: 2, 11: 2, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
383,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 3, 5: 3, 6: 4, 7: 2, 8: 3, 9: 3, 10: 2, 11: 4, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
384,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2, 8: 4, 9: 2, 10: 3, 11: 3, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
385,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
386,"{0: 1, 1: 2, 2: 4, 3: 5, 4: 7, 5: 11, 6: 15, 7: 14, 8: 18, 9: 16, 10: 16, 11: 15, 12: 17, 13: 13, 14: 10, 15: 7, 16: 4, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
387,"{0: 1, 1: 2, 2: 4, 3: 4, 4: 3, 5: 3, 6: 4, 7: 2, 8: 3, 9: 3, 10: 2, 11: 4, 12: 3, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
388,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 2, 6: 4, 7: 4, 8: 5, 9: 4, 10: 4, 11: 4, 12: 4, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
389,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 2, 12: 2, 13: 2, 14: 1, 15: 1, 16: 1, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
390,"{0: 1, 1: 1, 2: 2, 3: 4, 4: 2, 5: 3, 6: 3, 7: 3, 8: 2, 9: 2, 10: 3, 11: 3, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
391,"{0: 1, 1: 2, 2: 4, 3: 3, 4: 4, 5: 4, 6: 4, 7: 3, 8: 3, 9: 4, 10: 2, 11: 4, 12: 3, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
392,"{0: 1, 1: 2, 2: 4, 3: 4, 4: 3, 5: 4, 6: 4, 7: 2, 8: 2, 9: 3, 10: 3, 11: 4, 12: 2, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
393,"{0: 1, 1: 2, 2: 4, 3: 5, 4: 9, 5: 11, 6: 14, 7: 16, 8: 14, 9: 18, 10: 15, 11: 16, 12: 14, 13: 9, 14: 6, 15: 5, 16: 2, 17: 2, 18: 1, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
394,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 3, 7: 4, 8: 5, 9: 8, 10: 9, 11: 9, 12: 12, 13: 10, 14: 7, 15: 7, 16: 5, 17: 3, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
395,"{0: 1, 1: 2, 2: 4, 3: 4, 4: 5, 5: 5, 6: 5, 7: 4, 8: 4, 9: 5, 10: 3, 11: 4, 12: 4, 13: 2, 14: 1, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
396,"{0: 1, 1: 2, 2: 4, 3: 5, 4: 7, 5: 10, 6: 14, 7: 14, 8: 17, 9: 12, 10: 16, 11: 12, 12: 14, 13: 12, 14: 11, 15: 8, 16: 6, 17: 4, 18: 3, 19: 2, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
397,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 4, 6: 2, 7: 4, 8: 3, 9: 3, 10: 4, 11: 3, 12: 2, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
398,"{0: 1, 1: 2, 2: 3, 3: 4, 4: 5, 5: 6, 6: 6, 7: 5, 8: 4, 9: 6, 10: 4, 11: 4, 12: 3, 13: 1, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
399,"{0: 1, 1: 1, 2: 2, 3: 2, 4: 4, 5: 3, 6: 3, 7: 4, 8: 3, 9: 3, 10: 2, 11: 2, 12: 2, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0}"
